result = inputNumber=101, squareRes=10.04987562112089, delay=151, status=PASS
result = inputNumber=262, squareRes=16.186414056238647, delay=165, status=PASS
result = inputNumber=625, squareRes=25.0, delay=178, status=PASS
result = inputNumber=398, squareRes=19.949937343260004, delay=169, status=PASS
result = inputNumber=277, squareRes=16.64331697709324, delay=169, status=PASS
result = inputNumber=817, squareRes=28.583211855912904, delay=195, status=PASS
result = inputNumber=404, squareRes=20.09975124224178, delay=175, status=PASS
result = inputNumber=810, squareRes=28.460498941515414, delay=161, status=PASS
result = inputNumber=718, squareRes=26.795522013948524, delay=204, status=FAIL
result = inputNumber=399, squareRes=19.974984355438178, delay=187, status=PASS
result = inputNumber=529, squareRes=23.0, delay=178, status=PASS
result = inputNumber=899, squareRes=29.9833287011299, delay=205, status=FAIL
result = inputNumber=724, squareRes=26.90724809414742, delay=198, status=PASS
result = inputNumber=525, squareRes=22.9128784747792, delay=180, status=PASS
result = inputNumber=320, squareRes=17.88854381999832, delay=181, status=PASS
result = inputNumber=2, squareRes=1.4142135623730951, delay=139, status=PASS
result = inputNumber=905, squareRes=30.083217912982647, delay=152, status=PASS
result = inputNumber=704, squareRes=26.5329983228432, delay=211, status=FAIL
result = inputNumber=679, squareRes=26.057628441590765, delay=247, status=FAIL
result = inputNumber=831, squareRes=28.827070610799147, delay=177, status=PASS
result = inputNumber=341, squareRes=18.466185312619388, delay=221, status=FAIL
result = inputNumber=930, squareRes=30.495901363953813, delay=229, status=FAIL
result = inputNumber=965, squareRes=31.064449134018133, delay=190, status=PASS
result = inputNumber=948, squareRes=30.789608636681304, delay=163, status=PASS
result = inputNumber=681, squareRes=26.095976701399778, delay=193, status=PASS
result = inputNumber=692, squareRes=26.30589287593181, delay=157, status=PASS
result = inputNumber=152, squareRes=12.328828005937952, delay=237, status=FAIL
result = inputNumber=39, squareRes=6.244997998398398, delay=156, status=PASS
result = inputNumber=934, squareRes=30.56141357987225, delay=150, status=PASS
result = inputNumber=783, squareRes=27.982137159266443, delay=245, status=FAIL
result = inputNumber=946, squareRes=30.757112998459398, delay=166, status=PASS
result = inputNumber=417, squareRes=20.42057785666214, delay=151, status=PASS
result = inputNumber=293, squareRes=17.11724276862369, delay=152, status=PASS
result = inputNumber=0, squareRes=0.0, delay=159, status=PASS
result = inputNumber=176, squareRes=13.2664991614216, delay=171, status=PASS
result = inputNumber=741, squareRes=27.2213151776324, delay=166, status=PASS
result = inputNumber=646, squareRes=25.41653005427767, delay=167, status=PASS
