inputNumber=809, squareRes=28.442925306655784, delay=159, status=PASS
inputNumber=351, squareRes=18.734993995195193, delay=166, status=PASS
inputNumber=330, squareRes=18.16590212458495, delay=152, status=PASS
inputNumber=632, squareRes=25.13961017995307, delay=163, status=PASS
inputNumber=673, squareRes=25.942243542145693, delay=153, status=PASS
inputNumber=9, squareRes=3.0, delay=176, status=PASS
inputNumber=192, squareRes=13.856406460551018, delay=172, status=PASS
inputNumber=478, squareRes=21.863211109075447, delay=148, status=PASS
inputNumber=521, squareRes=22.825424421026653, delay=145, status=PASS
inputNumber=752, squareRes=27.422618401604176, delay=157, status=PASS
inputNumber=870, squareRes=29.49576240750525, delay=129, status=PASS
inputNumber=20, squareRes=4.47213595499958, delay=146, status=PASS
inputNumber=206, squareRes=14.352700094407323, delay=126, status=PASS
inputNumber=451, squareRes=21.236760581595302, delay=168, status=PASS
inputNumber=953, squareRes=30.870698080866262, delay=158, status=PASS
inputNumber=410, squareRes=20.248456731316587, delay=159, status=PASS
inputNumber=733, squareRes=27.073972741361768, delay=131, status=PASS
inputNumber=289, squareRes=17.0, delay=139, status=PASS
inputNumber=578, squareRes=24.041630560342615, delay=158, status=PASS
inputNumber=269, squareRes=16.401219466856727, delay=137, status=PASS
inputNumber=481, squareRes=21.93171219946131, delay=167, status=PASS
inputNumber=703, squareRes=26.514147167125703, delay=159, status=PASS
inputNumber=539, squareRes=23.2163735324878, delay=158, status=PASS
inputNumber=615, squareRes=24.79919353527449, delay=159, status=PASS
inputNumber=57, squareRes=7.54983443527075, delay=171, status=PASS
inputNumber=850, squareRes=29.154759474226502, delay=146, status=PASS
inputNumber=325, squareRes=18.027756377319946, delay=167, status=PASS
inputNumber=135, squareRes=11.61895003862225, delay=156, status=PASS
inputNumber=530, squareRes=23.021728866442675, delay=151, status=PASS
inputNumber=72, squareRes=8.48528137423857, delay=159, status=PASS
inputNumber=168, squareRes=12.96148139681572, delay=141, status=PASS
inputNumber=422, squareRes=20.54263858417414, delay=159, status=PASS
inputNumber=42, squareRes=6.48074069840786, delay=154, status=PASS
inputNumber=715, squareRes=26.739483914241877, delay=135, status=PASS
inputNumber=74, squareRes=8.602325267042627, delay=145, status=PASS
inputNumber=485, squareRes=22.02271554554524, delay=167, status=PASS
inputNumber=678, squareRes=26.038433132583073, delay=155, status=PASS
inputNumber=156, squareRes=12.489995996796797, delay=153, status=PASS
inputNumber=490, squareRes=22.135943621178654, delay=156, status=PASS
inputNumber=619, squareRes=24.879710609249457, delay=166, status=PASS
inputNumber=158, squareRes=12.569805089976535, delay=153, status=PASS
inputNumber=593, squareRes=24.351591323771842, delay=169, status=PASS
inputNumber=487, squareRes=22.06807649071391, delay=170, status=PASS
inputNumber=750, squareRes=27.386127875258307, delay=153, status=PASS
inputNumber=493, squareRes=22.20360331117452, delay=148, status=PASS
inputNumber=374, squareRes=19.339079605813716, delay=162, status=PASS
inputNumber=183, squareRes=13.527749258468683, delay=145, status=PASS
inputNumber=965, squareRes=31.064449134018133, delay=171, status=PASS
inputNumber=449, squareRes=21.18962010041709, delay=174, status=PASS
inputNumber=298, squareRes=17.26267650163207, delay=150, status=PASS
inputNumber=204, squareRes=14.2828568570857, delay=158, status=PASS
inputNumber=804, squareRes=28.35489375751565, delay=149, status=PASS
inputNumber=642, squareRes=25.337718918639855, delay=143, status=PASS
inputNumber=649, squareRes=25.475478405713993, delay=147, status=PASS
inputNumber=823, squareRes=28.687976575562104, delay=160, status=PASS
inputNumber=632, squareRes=25.13961017995307, delay=158, status=PASS
inputNumber=725, squareRes=26.92582403567252, delay=156, status=PASS
inputNumber=980, squareRes=31.304951684997057, delay=165, status=PASS
inputNumber=131, squareRes=11.445523142259598, delay=163, status=PASS
inputNumber=188, squareRes=13.711309200802088, delay=170, status=PASS
inputNumber=722, squareRes=26.870057685088806, delay=140, status=PASS
inputNumber=904, squareRes=30.066592756745816, delay=169, status=PASS
inputNumber=594, squareRes=24.372115213907882, delay=144, status=PASS
inputNumber=271, squareRes=16.46207763315433, delay=160, status=PASS
inputNumber=591, squareRes=24.310491562286437, delay=167, status=PASS
inputNumber=662, squareRes=25.729360660537214, delay=159, status=PASS
inputNumber=684, squareRes=26.153393661244042, delay=165, status=PASS
inputNumber=567, squareRes=23.811761799581316, delay=151, status=PASS
